critic_loss,duration,episode,episode_reward,step
-7705.426816641566,0.7965805530548096,581.0,83.0,43774
-7693.093176055373,1.0739996433258057,582.0,114.0,43888
-8073.870035807292,3.8251163959503174,583.0,354.0,44243
-8109.525408063616,0.5459978580474854,584.0,56.0,44299
-8453.631533668155,0.399000883102417,585.0,42.0,44341
-8047.053887549867,0.44500136375427246,586.0,47.0,44388
-8279.391722125773,0.758000373840332,587.0,81.0,44469
-8539.103053977273,0.5170097351074219,588.0,55.0,44524
-8337.785116659628,0.3490002155303955,589.0,37.0,44561
-8538.712110832555,1.2835657596588135,590.0,134.0,44695
-8351.717725297096,0.668001651763916,591.0,71.0,44766
-8817.978279903018,1.0920004844665527,592.0,116.0,44882
-8733.365030317163,1.561999797821045,593.0,134.0,45017
-8834.636801509534,0.5610003471374512,594.0,59.0,45076
-8703.97047393176,0.9330015182495117,595.0,98.0,45174
-8367.171663851352,0.6939990520477295,596.0,74.0,45248
-8504.62594825634,0.6659970283508301,597.0,69.0,45317
-8891.292742473323,0.38500022888183594,598.0,41.0,45358
-8898.922994157909,1.0789999961853027,599.0,113.0,45471
-9246.824793836806,0.4439997673034668,600.0,45.0,45516
-8865.08512008102,1.2859971523284912,601.0,135.0,45651
-8807.16928205819,0.5560002326965332,602.0,58.0,45709
-8860.169016520182,0.9058544635772705,603.0,96.0,45805
-9110.800962936046,0.40800023078918457,604.0,43.0,45848
-9132.351455688477,0.9149987697601318,605.0,96.0,45944
-9133.062542769161,1.5990004539489746,606.0,137.0,46082
-9124.819708806817,1.5630011558532715,607.0,165.0,46247
-9559.445134480795,0.943000078201294,608.0,96.0,46343
-9174.729526253634,0.824009895324707,609.0,86.0,46429
-9549.987556966145,1.1390018463134766,610.0,120.0,46549
-9529.202948208513,1.1189994812011719,611.0,116.0,46665
